security_code,security_name,financing_balance,financing_buy,financing_repayment,trade_date,market,source_id,theme_id,theme_name
000001,平安银行,4832871417,78779609,,2026-07-29,SZSE,margin_detail,finance,金融
000002,万  科Ａ,2307265153,22673214,,2026-07-29,SZSE,margin_detail,,
000006,深振业Ａ,705707027,18844511,,2026-07-29,SZSE,margin_detail,,
000008,神州高铁,236048230,4629304,,2026-07-29,SZSE,margin_detail,,
000009,中国宝安,1838421095,7782135,,2026-07-29,SZSE,margin_detail,,
000012,南  玻Ａ,623750448,6020631,,2026-07-29,SZSE,margin_detail,,
000021,深科技,2869496701,388793482,,2026-07-29,SZSE,margin_detail,,
000025,特  力Ａ,240136129,5037238,,2026-07-29,SZSE,margin_detail,,
000027,深圳能源,537291868,10983856,,2026-07-29,SZSE,margin_detail,,
000028,国药一致,231170977,3271035,,2026-07-29,SZSE,margin_detail,,
000029,深深房Ａ,540447784,9171693,,2026-07-29,SZSE,margin_detail,,
000030,富奥股份,142851103,3050727,,2026-07-29,SZSE,margin_detail,,
000031,大悦城,271010204,5373447,,2026-07-29,SZSE,margin_detail,,
000032,深桑达Ａ,821986657,39961562,,2026-07-29,SZSE,margin_detail,,
000034,神州数码,1716951369,68493562,,2026-07-29,SZSE,margin_detail,,
000035,中国天楹,592074340,15733186,,2026-07-29,SZSE,margin_detail,,
000036,华联控股,363625842,5390753,,2026-07-29,SZSE,margin_detail,,
000039,中集集团,255182729,11980818,,2026-07-29,SZSE,margin_detail,,
000042,中洲控股,147292647,1660976,,2026-07-29,SZSE,margin_detail,,
000048,京基智农,242229011,6920573,,2026-07-29,SZSE,margin_detail,,
000049,德赛电池,252047254,17441629,,2026-07-29,SZSE,margin_detail,,
000050,深天马Ａ,523712044,16738439,,2026-07-29,SZSE,margin_detail,,
000055,方大集团,102044137,2353623,,2026-07-29,SZSE,margin_detail,,
000058,深 赛 格,153544395,2119056,,2026-07-29,SZSE,margin_detail,,
000059,华锦股份,318924386,8560506,,2026-07-29,SZSE,margin_detail,,
000060,中金岭南,1763991117,49972742,,2026-07-29,SZSE,margin_detail,,
000061,农 产 品,388043059,2827256,,2026-07-29,SZSE,margin_detail,,
000062,深圳华强,690987828,23828364,,2026-07-29,SZSE,margin_detail,,
000063,中兴通讯,10146179243,532612809,,2026-07-29,SZSE,margin_detail,,
000065,北方国际,721295503,13465795,,2026-07-29,SZSE,margin_detail,,
000066,中国长城,2004511963,75366139,,2026-07-29,SZSE,margin_detail,,
000069,华侨城Ａ,544960759,10096559,,2026-07-29,SZSE,margin_detail,,
000070,特发信息,108613930,23218464,,2026-07-29,SZSE,margin_detail,,
000088,盐 田 港,243961027,7102728,,2026-07-29,SZSE,margin_detail,,
000089,深圳机场,660146158,6843150,,2026-07-29,SZSE,margin_detail,,
000090,天健集团,309640573,4270821,,2026-07-29,SZSE,margin_detail,,
000099,中信海直,537941302,7368704,,2026-07-29,SZSE,margin_detail,,
000100,TCL科技,4948136893,313967248,,2026-07-29,SZSE,margin_detail,,
000151,中成股份,226832054,3821963,,2026-07-29,SZSE,margin_detail,,
000155,川能动力,983846524,125809322,,2026-07-29,SZSE,margin_detail,,
000156,华数传媒,419367312,3719974,,2026-07-29,SZSE,margin_detail,,
000157,中联重科,2659184057,11494930,,2026-07-29,SZSE,margin_detail,,
000158,常山北明,799224055,18908624,,2026-07-29,SZSE,margin_detail,,
000159,国际实业,163797861,2410445,,2026-07-29,SZSE,margin_detail,,
